,density,speed,Temp,Weather,Wind,Visibility,VISIBILITY,LIGHT,ACCLASS,LONGITUDE,LATITUDE
2014-10-01 00:00:00,,,17.0,Mostly cloudy.,13,16.0,,,,,
2014-10-01 00:05:00,0.3329713354862679,30.12603037212176,,,,,,,,,
2014-10-01 01:00:00,0.15838834747982813,29.33609307661821,16.0,Drizzle. Fog.,19,10.0,,,,,
2014-10-01 02:00:00,0.1726920255684795,28.411835028872513,16.0,Overcast.,19,16.0,,,,,
2014-10-01 03:00:00,0.16407076105284216,28.954766465638315,15.0,Overcast.,17,19.0,,,,,
2014-10-01 04:00:00,0.33686995703657135,28.333049625875493,15.0,Overcast.,17,24.0,,,,,
2014-10-01 05:00:00,0.8692497118306611,29.88631493012164,15.0,Overcast.,13,19.0,,,,,
2014-10-01 06:00:00,1.7323430786964267,27.20552686377928,15.0,Overcast.,11,19.0,,,,,
2014-10-01 07:00:00,4.042413287226239,20.65351420903607,15.0,Overcast.,13,16.0,,,,,
2014-10-01 08:00:00,8.597401236508436,9.374873488269023,15.0,Fog.,9,10.0,,,,,
2014-10-01 09:00:00,6.9263596353348005,11.658620628820133,15.0,Drizzle. Fog.,9,8.0,,,,,
2014-10-01 09:45:00,,,15.0,Fog.,9,8.0,,,,,
2014-10-01 10:00:00,2.1748139997904223,26.243941175314745,15.0,Fog.,11,8.0,,,,,
2014-10-01 11:00:00,1.516740018861993,28.335517254163523,15.0,Drizzle. Fog.,7,6.0,,,,,
2014-10-01 12:00:00,1.6092947710363619,28.696715706109696,15.0,Drizzle. Fog.,9,5.0,,,,,
2014-10-01 13:00:00,1.5049774703971497,29.30612228548038,15.0,Drizzle. Fog.,9,5.0,,,,,
2014-10-01 14:00:00,1.3715550665409202,29.289406253580935,15.0,Drizzle. Fog.,13,6.0,,,,,
2014-10-01 15:00:00,1.4576129099863773,28.562672586331995,15.0,Drizzle. Fog.,9,6.0,,,,,
2014-10-01 16:00:00,2.6682384994236616,23.772195479774478,15.0,Drizzle. Fog.,9,5.0,,,,,
2014-10-01 17:00:00,8.189641622131406,11.204077575074793,15.0,Drizzle. Fog.,13,6.0,,,,,
2014-10-01 18:00:00,6.458870376191974,15.890315083461346,15.0,Drizzle. Fog.,11,6.0,,,,,
2014-10-01 19:00:00,1.4907261867337314,28.31584242263337,15.0,Drizzle. Fog.,7,5.0,,,,,
2014-10-01 20:00:00,1.127318453316567,29.43089332844751,16.0,Overcast.,9,13.0,,,,,
2014-10-01 21:00:00,1.0823902336791364,29.477407177527272,16.0,Overcast.,9,13.0,,,,,
2014-10-01 22:00:00,0.8439955988682804,30.404913599070934,16.0,Overcast.,7,13.0,,,,,
2014-10-01 23:00:00,0.5814471340249397,31.07620726228421,16.0,Overcast.,4,13.0,,,,,
2014-10-01 23:48:00,,,16.0,Fog.,9,10.0,,,,,
2014-10-02 00:00:00,0.4144922980194907,30.630621113027733,16.0,Fog.,11,10.0,,,,,
2014-10-02 01:00:00,0.2553704285863984,29.73177101938735,15.0,Fog.,7,10.0,,,,,
2014-10-02 02:00:00,0.2270774389604946,28.298748893659234,15.0,Fog.,6,10.0,,,,,
2014-10-02 03:00:00,0.16839568269936078,28.814407257218694,15.0,Fog.,0,10.0,,,,,
2014-10-02 04:00:00,0.3622288588494184,29.273578814080878,15.0,Fog.,7,10.0,,,,,
2014-10-02 05:00:00,0.9487844493345908,30.283635198644873,15.0,Fog.,11,10.0,,,,,
2014-10-02 06:00:00,1.635072828251074,27.437209505136483,15.0,Fog.,0,6.0,,,,,
2014-10-02 07:00:00,4.9167190610919,18.424592081419267,16.0,Fog.,7,6.0,,,,,
2014-10-02 08:00:00,10.28230116315624,8.98188973172938,16.0,Fog.,11,6.0,,,,,
2014-10-02 09:00:00,9.444016556638374,8.642166352058316,16.0,Fog.,7,6.0,,,,,
2014-10-02 10:00:00,2.726972650110028,24.83399807304924,17.0,Fog.,13,8.0,,,,,
2014-10-02 11:00:00,1.6485119983233785,29.052393787689223,17.0,Fog.,17,8.0,,,,,
2014-10-02 12:00:00,1.4113224352928848,29.910609479528812,17.0,Fog.,15,10.0,,,,,
2014-10-02 13:00:00,1.3572513884522686,29.700123032664365,17.0,Fog.,15,10.0,,,,,
2014-10-02 14:00:00,1.2927014565650214,30.081274407411872,17.0,Fog.,0,10.0,,,,,
2014-10-02 15:00:00,1.4720475741381118,28.970609053883802,19.0,Cloudy.,0,13.0,,,,,
2014-10-02 16:00:00,2.7927800482028715,24.362803743915645,20.0,Broken clouds.,11,13.0,,,,,
2014-10-02 17:00:00,7.128366341821231,12.670332900235074,18.0,Partly sunny.,13,13.0,,,,,
2014-10-02 18:00:00,2.818348527716651,25.197006020689713,18.0,Fog.,9,10.0,,,,,
2014-10-02 19:00:00,1.8217279681441896,27.867681409126956,16.0,Fog.,6,10.0,,,,,
2014-10-02 20:00:00,1.2877501833804883,29.542136025577452,16.0,Fog.,15,10.0,,,,,
2014-10-02 21:00:00,1.119013936917112,29.34090747985927,15.0,Fog.,7,10.0,,,,,
2014-10-02 22:00:00,0.8958398826364875,30.355907373088872,15.0,Partly cloudy.,4,13.0,,,,,
2014-10-02 23:00:00,0.6495860840406581,30.79888599154931,15.0,Partly cloudy.,0,13.0,,,,,
2014-10-03 00:00:00,0.3764015508749869,30.911901312957315,16.0,Partly cloudy.,9,13.0,,,,,
