,density,speed,Temp,Weather,Wind,Visibility,VISIBILITY,LIGHT,ACCLASS,LONGITUDE,LATITUDE
2014-10-01 00:00:00,,,17,Mostly cloudy.,13,16,,,,,
2014-10-01 01:00:00,,,16,Drizzle. Fog.,19,10,,,,,
2014-10-01 02:00:00,,,16,Overcast.,19,16,,,,,
2014-10-01 03:00:00,,,15,Overcast.,17,19,,,,,
2014-10-01 04:00:00,,,15,Overcast.,17,24,,,,,
2014-10-01 05:00:00,,,15,Overcast.,13,19,,,,,
2014-10-01 06:00:00,,,15,Overcast.,11,19,,,,,
2014-10-01 07:00:00,,,15,Overcast.,13,16,,,,,
2014-10-01 08:00:00,,,15,Fog.,9,10,,,,,
2014-10-01 09:00:00,,,15,Drizzle. Fog.,9,8,,,,,
2014-10-01 09:45:00,,,15,Fog.,9,8,,,,,
2014-10-01 10:00:00,,,15,Fog.,11,8,,,,,
2014-10-01 11:00:00,,,15,Drizzle. Fog.,7,6,,,,,
2014-10-01 12:00:00,,,15,Drizzle. Fog.,9,5,,,,,
2014-10-01 13:00:00,,,15,Drizzle. Fog.,9,5,,,,,
2014-10-01 14:00:00,,,15,Drizzle. Fog.,13,6,,,,,
2014-10-01 15:00:00,,,15,Drizzle. Fog.,9,6,,,,,
2014-10-01 16:00:00,,,15,Drizzle. Fog.,9,5,,,,,
2014-10-01 17:00:00,,,15,Drizzle. Fog.,13,6,,,,,
2014-10-01 18:00:00,,,15,Drizzle. Fog.,11,6,,,,,
2014-10-01 19:00:00,,,15,Drizzle. Fog.,7,5,,,,,
2014-10-01 20:00:00,,,16,Overcast.,9,13,,,,,
2014-10-01 21:00:00,,,16,Overcast.,9,13,,,,,
2014-10-01 22:00:00,,,16,Overcast.,7,13,,,,,
2014-10-01 23:00:00,,,16,Overcast.,4,13,,,,,
2014-10-01 23:48:00,,,16,Fog.,9,10,,,,,
2014-10-02 00:00:00,,,16,Fog.,11,10,,,,,
2014-10-02 01:00:00,,,15,Fog.,7,10,,,,,
2014-10-02 02:00:00,,,15,Fog.,6,10,,,,,
2014-10-02 03:00:00,,,15,Fog.,0,10,,,,,
2014-10-02 04:00:00,,,15,Fog.,7,10,,,,,
2014-10-02 05:00:00,,,15,Fog.,11,10,,,,,
2014-10-02 06:00:00,,,15,Fog.,0,6,,,,,
2014-10-02 07:00:00,,,16,Fog.,7,6,,,,,
2014-10-02 08:00:00,,,16,Fog.,11,6,,,,,
2014-10-02 09:00:00,,,16,Fog.,7,6,,,,,
2014-10-02 10:00:00,,,17,Fog.,13,8,,,,,
2014-10-02 11:00:00,,,17,Fog.,17,8,,,,,
2014-10-02 12:00:00,,,17,Fog.,15,10,,,,,
2014-10-02 13:00:00,,,17,Fog.,15,10,,,,,
2014-10-02 14:00:00,,,17,Fog.,0,10,,,,,
2014-10-02 15:00:00,,,19,Cloudy.,0,13,,,,,
2014-10-02 16:00:00,,,20,Broken clouds.,11,13,,,,,
2014-10-02 17:00:00,,,18,Partly sunny.,13,13,,,,,
2014-10-02 18:00:00,,,18,Fog.,9,10,,,,,
2014-10-02 19:00:00,,,16,Fog.,6,10,,,,,
2014-10-02 20:00:00,,,16,Fog.,15,10,,,,,
2014-10-02 21:00:00,,,15,Fog.,7,10,,,,,
2014-10-02 22:00:00,,,15,Partly cloudy.,4,13,,,,,
2014-10-02 23:00:00,,,15,Partly cloudy.,0,13,,,,,
2014-10-03 00:00:00,,,16,Partly cloudy.,9,13,,,,,
2014-10-03 01:00:00,,,17,Passing clouds.,13,16,,,,,
2014-10-03 02:00:00,,,16,Partly cloudy.,9,16,,,,,
2014-10-03 03:00:00,,,17,Overcast.,11,16,,,,,
2014-10-03 04:00:00,,,17,Overcast.,15,16,,,,,
2014-10-03 05:00:00,,,17,Overcast.,13,16,,,,,
2014-10-03 06:00:00,,,17,Passing clouds.,19,16,,,,,
2014-10-03 07:00:00,,,16,Passing clouds.,15,16,,,,,
2014-10-03 08:00:00,,,16,Partly cloudy.,17,19,,,,,
2014-10-03 09:00:00,,,17,Broken clouds.,22,19,,,,,
2014-10-03 10:00:00,,,18,Partly sunny.,24,24,,,,,
2014-10-03 11:00:00,,,19,Partly sunny.,22,19,,,,,
2014-10-03 12:00:00,,,21,Partly sunny.,20,19,,,,,
2014-10-03 13:00:00,,,23,Partly sunny.,24,19,,,,,
2014-10-03 14:00:00,,,21,Mostly cloudy.,22,19,,,,,
2014-10-03 15:00:00,,,19,Light rain. Overcast.,22,13,,,,,
2014-10-03 16:00:00,,,19,Light rain. More clouds than sun.,24,13,,,,,
2014-10-03 17:00:00,,,19,Light rain. More clouds than sun.,26,13,,,,,
2014-10-03 17:57:00,,,18,Rain. Fog.,15,6,,,,,
2014-10-03 18:00:00,,,18,Light rain. Fog.,22,10,,,,,
2014-10-03 19:00:00,,,18,Cloudy.,17,16,,,,,
2014-10-03 20:00:00,,,18,Light rain. Overcast.,19,13,,,,,
2014-10-03 21:00:00,,,17,Sprinkles. Overcast.,17,24,,,,,
2014-10-03 22:00:00,,,16,Sprinkles. Mostly cloudy.,17,24,,,,,
2014-10-03 23:00:00,,,16,Sprinkles. Mostly cloudy.,7,24,,,,,
2014-10-03 23:47:00,,,15,Sprinkles. Mostly cloudy.,7,24,,,,,
2014-10-04 00:00:00,,,15,Sprinkles. Mostly cloudy.,6,24,,,,,
2014-10-04 01:00:00,,,15,Sprinkles. Mostly cloudy.,7,16,,,,,
2014-10-04 02:00:00,,,14,Sprinkles. Mostly cloudy.,15,16,,,,,
2014-10-04 03:00:00,,,13,Sprinkles. Mostly cloudy.,15,16,,,,,
2014-10-04 04:00:00,,,13,Sprinkles. Mostly cloudy.,9,24,,,,,
2014-10-04 05:00:00,,,13,Partly cloudy.,11,24,,,,,
2014-10-04 06:00:00,,,12,Partly cloudy.,13,24,,,,,
2014-10-04 07:00:00,,,12,Sprinkles. Mostly cloudy.,22,19,,,,,
2014-10-04 07:51:00,,,11,Sprinkles. Mostly cloudy.,35,19,,,,,
2014-10-04 08:00:00,,,10,Sprinkles. Partly cloudy.,26,24,,,,,
2014-10-04 09:00:00,,,11,Partly sunny.,26,24,,,,,
2014-10-04 10:00:00,,,12,Partly sunny.,28,24,,,,,
2014-10-04 11:00:00,,,11,Partly sunny.,22,24,,,,,
2014-10-04 12:00:00,,,13,Broken clouds.,30,24,,,,,
2014-10-04 13:00:00,,,12,Sprinkles. Partly sunny.,22,24,,,,,
2014-10-04 14:00:00,,,12,Scattered showers. Broken clouds.,35,24,,,,,
2014-10-04 15:00:00,,,12,Broken clouds.,26,24,,,,,
2014-10-04 16:00:00,,,11,Broken clouds.,22,24,,,,,
2014-10-04 17:00:00,,,11,Broken clouds.,24,24,,,,,
2014-10-04 18:00:00,,,10,Broken clouds.,22,24,,,,,
2014-10-04 19:00:00,,,8,Scattered clouds.,20,24,,,,,
2014-10-04 20:00:00,,,7,Passing clouds.,19,24,,,,,
2014-10-04 21:00:00,,,7,Passing clouds.,37,24,,,,,
2014-10-04 22:00:00,,,5,Passing clouds.,13,24,,,,,
2014-10-04 23:00:00,,,6,Passing clouds.,15,24,,,,,
2014-10-05 00:00:00,,,5,Clear.,15,24,,,,,
2014-10-05 01:00:00,,,5,Clear.,15,24,,,,,
2014-10-05 02:00:00,,,5,Passing clouds.,15,24,,,,,
2014-10-05 03:00:00,,,4,Passing clouds.,7,24,,,,,
2014-10-05 04:00:00,,,4,Passing clouds.,11,24,,,,,
2014-10-05 05:00:00,,,4,Passing clouds.,13,24,,,,,
2014-10-05 06:00:00,,,3,Passing clouds.,11,24,,,,,
2014-10-05 07:00:00,,,4,Passing clouds.,11,24,,,,,
2014-10-05 08:00:00,,,4,Passing clouds.,7,24,,,,,
2014-10-05 09:00:00,,,7,Scattered clouds.,15,24,,,,,
2014-10-05 10:00:00,,,9,Broken clouds.,22,24,,,,,
2014-10-05 11:00:00,,,11,Broken clouds.,26,24,,,,,
2014-10-05 12:00:00,,,12,Broken clouds.,30,24,,,,,
2014-10-05 13:00:00,,,12,Broken clouds.,26,24,,,,,
2014-10-05 14:00:00,,,12,Partly sunny.,24,24,,,,,
2014-10-05 15:00:00,,,12,Broken clouds.,24,24,,,,,
2014-10-05 16:00:00,,,12,Partly sunny.,30,24,,,,,
2014-10-05 17:00:00,,,12,Partly sunny.,28,24,,,,,
2014-10-05 18:00:00,,,11,Broken clouds.,26,24,,,,,
2014-10-05 19:00:00,,,11,Broken clouds.,19,24,,,,,
2014-10-05 20:00:00,,,10,Partly cloudy.,22,24,,,,,
2014-10-05 21:00:00,,,10,Partly cloudy.,13,24,,,,,
2014-10-05 22:00:00,,,10,Partly cloudy.,13,24,,,,,
2014-10-05 23:00:00,,,10,Partly cloudy.,13,24,,,,,
2014-10-06 00:00:00,,,10,Passing clouds.,13,24,,,,,
2014-10-06 01:00:00,,,11,Passing clouds.,15,24,,,,,
2014-10-06 02:00:00,,,10,Sprinkles. Mostly cloudy.,22,24,,,,,
2014-10-06 03:00:00,,,10,Sprinkles. Mostly cloudy.,19,24,,,,,
2014-10-06 04:00:00,,,10,Sprinkles. Passing clouds.,11,24,,,,,
2014-10-06 05:00:00,,,10,Partly cloudy.,7,24,,,,,
2014-10-06 06:00:00,,,10,Sprinkles. Overcast.,13,24,,,,,
2014-10-06 07:00:00,,,10,Mostly cloudy.,9,24,,,,,
2014-10-06 08:00:00,,,11,Sprinkles. Mostly cloudy.,11,24,,,,,
2014-10-06 09:00:00,,,11,Sprinkles. Partly sunny.,6,24,,,,,
2014-10-06 10:00:00,,,14,Partly sunny.,20,24,,,,,
2014-10-06 11:00:00,,,14,Broken clouds.,20,24,,,,,
2014-10-06 12:00:00,,,14,Partly sunny.,17,24,,,,,
2014-10-06 13:00:00,,,16,Broken clouds.,17,24,,,,,
2014-10-06 14:00:00,,,16,Broken clouds.,28,24,,,,,
2014-10-06 15:00:00,,,16,Partly sunny.,26,24,,,,,
2014-10-06 16:00:00,,,16,Partly sunny.,28,24,,,,,
2014-10-06 17:00:00,,,16,Partly sunny.,19,24,,,,,
2014-10-06 18:00:00,,,16,Overcast.,13,24,,,,,
2014-10-06 19:00:00,,,15,Overcast.,13,24,,,,,
2014-10-06 20:00:00,,,15,Overcast.,24,24,,,,,
2014-10-06 21:00:00,,,15,Partly cloudy.,17,24,,,,,
2014-10-06 22:00:00,,,14,Passing clouds.,22,24,,,,,
2014-10-06 23:00:00,,,14,Sprinkles. Passing clouds.,17,19,,,,,
2014-10-07 00:00:00,,,12,Sprinkles. Passing clouds.,19,24,,,,,
2014-10-07 01:00:00,,,12,Passing clouds.,13,24,,,,,
2014-10-07 02:00:00,,,11,Passing clouds.,11,24,,,,,
2014-10-07 03:00:00,,,12,Partly cloudy.,11,24,,,,,
2014-10-07 04:00:00,,,12,Passing clouds.,17,24,,,,,
2014-10-07 05:00:00,,,11,Partly cloudy.,11,24,,,,,
2014-10-07 06:00:00,,,11,Partly cloudy.,11,24,,,,,
2014-10-07 06:03:00,,,11,Sprinkles. Passing clouds.,13,24,,,,,
2014-10-07 07:00:00,,,11,Scattered showers. Passing clouds.,7,24,,,,,
2014-10-07 08:00:00,,,12,Sprinkles. Partly cloudy.,13,24,,,,,
2014-10-07 09:00:00,,,12,Scattered showers. Broken clouds.,13,16,,,,,
