,density,speed,Temp,Weather,Wind,Visibility,VISIBILITY,LIGHT,ACCLASS,LONGITUDE,LATITUDE
2014-10-01 00:00:00,,,17.0,Mostly cloudy.,13,16.0,,,,,
2014-10-01 00:20:00,0.04607172643869891,21.965108031086455,,,,,,,,,
2014-10-01 01:00:00,,,16.0,Drizzle. Fog.,19,10.0,,,,,
2014-10-01 01:05:00,0.03786488740617181,26.650525070462624,,,,,,,,,
2014-10-01 02:00:00,,,16.0,Overcast.,19,16.0,,,,,
2014-10-01 02:05:00,0.04075618571031415,24.590346418311174,,,,,,,,,
2014-10-01 03:00:00,,,15.0,Overcast.,17,19.0,,,,,
2014-10-01 03:05:00,0.04742841256602725,21.73067799197882,,,,,,,,,
2014-10-01 04:00:00,,,15.0,Overcast.,17,24.0,,,,,
2014-10-01 04:25:00,0.05282179594106199,19.436349784192455,,,,,,,,,
2014-10-01 05:00:00,,,15.0,Overcast.,13,19.0,,,,,
2014-10-01 05:05:00,0.11178760077842646,22.423934700010623,,,,,,,,,
2014-10-01 06:00:00,0.563302752293578,16.096436350985076,15.0,Overcast.,11,19.0,,,,,
2014-10-01 07:00:00,1.6626911314984707,10.33029381851341,15.0,Overcast.,13,16.0,,,,,
2014-10-01 08:00:00,1.896761189880456,5.8381036516992575,15.0,Fog.,9,10.0,,,,,
2014-10-01 09:00:00,2.4299277175423963,6.875102425899463,15.0,Drizzle. Fog.,9,8.0,,,,,
2014-10-01 09:45:00,,,15.0,Fog.,9,8.0,,,,,
2014-10-01 10:00:00,1.0533917153183208,12.728449264652028,15.0,Fog.,11,8.0,,,,,
2014-10-01 11:00:00,0.520767306088407,16.120906042417015,15.0,Drizzle. Fog.,7,6.0,,,,,
2014-10-01 12:00:00,0.4688768418126216,16.866483986417386,15.0,Drizzle. Fog.,9,5.0,,,,,
2014-10-01 13:00:00,0.3292604948568251,17.637922669863013,15.0,Drizzle. Fog.,9,5.0,,,,,
2014-10-01 14:00:00,0.21727196906513002,18.419620674469186,15.0,Drizzle. Fog.,13,6.0,,,,,
