,density,speed,Temp,Weather,Wind,Visibility,VISIBILITY,LIGHT,ACCLASS,LONGITUDE,LATITUDE
2014-10-01 00:00:00,,,17.0,Mostly cloudy.,13,16.0,,,,,
2014-10-01 00:05:00,0.07043650793650794,26.416900542824802,,,,,,,,,
2014-10-01 01:00:00,0.07332643202208419,27.831246698635393,16.0,Drizzle. Fog.,19,10.0,,,,,
2014-10-01 02:00:00,,,16.0,Overcast.,19,16.0,,,,,
2014-10-01 02:05:00,0.056935817805383024,25.999718525373257,,,,,,,,,
2014-10-01 03:00:00,0.052967563837129056,23.219474409448818,15.0,Overcast.,17,19.0,,,,,
2014-10-01 04:00:00,0.054261559696342304,27.62902716374349,15.0,Overcast.,17,24.0,,,,,
2014-10-01 05:00:00,,,15.0,Overcast.,13,19.0,,,,,
2014-10-01 05:05:00,0.07978682616363776,27.60840008972175,,,,,,,,,
2014-10-01 06:00:00,0.17447769621682666,27.67316868355149,15.0,Overcast.,11,19.0,,,,,
2014-10-01 07:00:00,0.09848171152518978,28.678770098731007,15.0,Overcast.,13,16.0,,,,,
2014-10-01 08:00:00,0.12638026224982746,27.45756354051491,15.0,Fog.,9,10.0,,,,,
2014-10-01 09:00:00,0.10271451575799401,27.79733925052653,15.0,Drizzle. Fog.,9,8.0,,,,,
2014-10-01 09:45:00,,,15.0,Fog.,9,8.0,,,,,
2014-10-01 10:00:00,0.15510697032436163,27.32465046333211,15.0,Fog.,11,8.0,,,,,
2014-10-01 11:00:00,0.13000345065562458,27.255756205755443,15.0,Drizzle. Fog.,7,6.0,,,,,
2014-10-01 12:00:00,0.099925235794801,26.692125888553107,15.0,Drizzle. Fog.,9,5.0,,,,,
2014-10-01 13:00:00,0.14070048309178743,27.779225824947446,15.0,Drizzle. Fog.,9,5.0,,,,,
2014-10-01 14:00:00,0.13402921555095468,26.3020265061499,15.0,Drizzle. Fog.,13,6.0,,,,,
2014-10-01 15:00:00,0.12291235334713595,27.602360563148835,15.0,Drizzle. Fog.,9,6.0,,,,,
2014-10-01 16:00:00,0.10429606625258799,27.821036542090326,15.0,Drizzle. Fog.,9,5.0,,,,,
2014-10-01 17:00:00,0.13354037267080746,27.411152229312574,15.0,Drizzle. Fog.,13,6.0,,,,,
2014-10-01 18:00:00,0.0787132888582164,28.542449481727836,15.0,Drizzle. Fog.,11,6.0,,,,,
2014-10-01 19:00:00,0.1458686241294937,26.072338148118433,15.0,Drizzle. Fog.,7,5.0,,,,,
2014-10-01 20:00:00,0.1251333207854947,27.939470349156988,16.0,Overcast.,9,13.0,,,,,
2014-10-01 21:00:00,0.10771796641361858,27.547748457826245,16.0,Overcast.,9,13.0,,,,,
2014-10-01 22:00:00,0.08616287094547964,29.04366911562177,16.0,Overcast.,7,13.0,,,,,
2014-10-01 23:00:00,0.05110804386166705,26.32175634026992,16.0,Overcast.,4,13.0,,,,,
2014-10-01 23:48:00,,,16.0,Fog.,9,10.0,,,,,
2014-10-02 00:00:00,,,16.0,Fog.,11,10.0,,,,,
2014-10-02 00:10:00,0.06458477110651024,25.91540072139114,,,,,,,,,
2014-10-02 01:00:00,0.05900621118012423,26.76217492674046,15.0,Fog.,7,10.0,,,,,
2014-10-02 02:00:00,,,15.0,Fog.,6,10.0,,,,,
2014-10-02 02:10:00,0.05547887431945403,25.701757170649536,,,,,,,,,
2014-10-02 03:00:00,0.06728778467908902,27.297827813529093,15.0,Fog.,0,10.0,,,,,
2014-10-02 04:00:00,,,15.0,Fog.,7,10.0,,,,,
2014-10-02 04:10:00,0.06711525189786059,25.079341888087953,,,,,,,,,
2014-10-02 05:00:00,0.09137336093857833,27.625964348095586,15.0,Fog.,11,10.0,,,,,
2014-10-02 06:00:00,0.1730503795721187,28.5746023039988,15.0,Fog.,0,6.0,,,,,
2014-10-02 07:00:00,0.09018759018759019,28.011297129421823,16.0,Fog.,7,6.0,,,,,
2014-10-02 08:00:00,0.12077294685990338,29.16066192635951,16.0,Fog.,11,6.0,,,,,
2014-10-02 09:00:00,0.14150563607085345,27.646675865906005,16.0,Fog.,7,6.0,,,,,
2014-10-02 10:00:00,0.1955946629859673,27.217798445009368,17.0,Fog.,13,8.0,,,,,
2014-10-02 11:00:00,0.11162870945479642,27.1746046890985,17.0,Fog.,17,8.0,,,,,
2014-10-02 12:00:00,0.11240510697032435,27.571035173923434,17.0,Fog.,15,10.0,,,,,
2014-10-02 13:00:00,0.11839582854075609,26.66480693687187,17.0,Fog.,15,10.0,,,,,
2014-10-02 14:00:00,0.10816236903193426,28.866304664847576,17.0,Fog.,0,10.0,,,,,
2014-10-02 15:00:00,0.11252274295752555,27.52412274789923,19.0,Cloudy.,0,13.0,,,,,
2014-10-02 16:00:00,0.1371060501495284,28.023248294441355,20.0,Broken clouds.,11,13.0,,,,,
2014-10-02 17:00:00,0.11180124223602483,28.706228589810475,18.0,Partly sunny.,13,13.0,,,,,
2014-10-02 18:00:00,0.11033471359558317,28.101758964130227,18.0,Fog.,9,10.0,,,,,
2014-10-02 19:00:00,0.11948679339983688,27.45213303711561,16.0,Fog.,6,10.0,,,,,
2014-10-02 20:00:00,0.11948679339983688,27.45925202347099,16.0,Fog.,15,10.0,,,,,
2014-10-02 21:00:00,0.10373925591316895,27.316900665387504,15.0,Fog.,7,10.0,,,,,
2014-10-02 22:00:00,0.07475374866679214,27.328204856362902,15.0,Partly cloudy.,4,13.0,,,,,
2014-10-02 23:00:00,0.08821130560260994,27.957888144383503,15.0,Partly cloudy.,0,13.0,,,,,
2014-10-03 00:00:00,0.0862663906142167,28.624800123214456,16.0,Partly cloudy.,9,13.0,,,,,
2014-10-03 01:00:00,,,17.0,Passing clouds.,13,16.0,,,,,
2014-10-03 01:10:00,0.0924775707384403,24.928104192910826,,,,,,,,,
2014-10-03 02:00:00,0.04175293305728088,27.296136304598317,16.0,Partly cloudy.,9,16.0,,,,,
2014-10-03 03:00:00,,,17.0,Overcast.,11,16.0,,,,,
2014-10-03 03:05:00,0.08474810213940649,25.86387984417246,,,,,,,,,
2014-10-03 04:00:00,,,17.0,Overcast.,15,16.0,,,,,
2014-10-03 04:05:00,0.06521739130434782,26.471245508327616,,,,,,,,,
2014-10-03 05:00:00,0.09181880921011355,27.136764226876895,17.0,Overcast.,13,16.0,,,,,
2014-10-03 06:00:00,0.1457326892109501,28.612429264380378,17.0,Passing clouds.,19,16.0,,,,,
2014-10-03 07:00:00,0.10855187485622268,29.18476667498378,16.0,Passing clouds.,15,16.0,,,,,
2014-10-03 08:00:00,0.1036231884057971,27.789342910211808,16.0,Partly cloudy.,17,19.0,,,,,
2014-10-03 09:00:00,0.11539567517828386,28.932703066643686,17.0,Broken clouds.,22,19.0,,,,,
2014-10-03 10:00:00,0.09671246627768366,26.995310232721305,18.0,Partly sunny.,24,24.0,,,,,
2014-10-03 11:00:00,0.11648838279273062,27.03438088002879,19.0,Partly sunny.,22,19.0,,,,,
2014-10-03 12:00:00,0.15320910973084884,28.109571883765433,21.0,Partly sunny.,20,19.0,,,,,
2014-10-03 13:00:00,0.13661720726938117,27.440799636103662,23.0,Partly sunny.,24,19.0,,,,,
2014-10-03 14:00:00,0.11430296756383712,27.077963283672062,21.0,Mostly cloudy.,22,19.0,,,,,
2014-10-03 15:00:00,0.17690361168622037,24.09614962435707,19.0,Light rain. Overcast.,22,13.0,,,,,
2014-10-03 16:00:00,0.1392914653784219,23.125418793148743,19.0,Light rain. More clouds than sun.,24,13.0,,,,,
2014-10-03 17:00:00,0.14551414768806076,24.36730034975586,19.0,Light rain. More clouds than sun.,26,13.0,,,,,
2014-10-03 17:57:00,,,18.0,Rain. Fog.,15,6.0,,,,,
2014-10-03 18:00:00,0.14470794905577514,26.956463683289282,18.0,Light rain. Fog.,22,10.0,,,,,
2014-10-03 19:00:00,0.10577827969132318,27.07207636993868,18.0,Cloudy.,17,16.0,,,,,
2014-10-03 20:00:00,0.15069954200388982,25.824656659763342,18.0,Light rain. Overcast.,19,13.0,,,,,
2014-10-03 21:00:00,0.13216011042098,27.049307036577712,17.0,Sprinkles. Overcast.,17,24.0,,,,,
2014-10-03 22:00:00,0.07291235334713596,26.043086426073092,16.0,Sprinkles. Mostly cloudy.,17,24.0,,,,,
2014-10-03 23:00:00,0.08305728088336783,26.90580797369149,16.0,Sprinkles. Mostly cloudy.,7,24.0,,,,,
2014-10-03 23:47:00,,,15.0,Sprinkles. Mostly cloudy.,7,24.0,,,,,
2014-10-04 00:00:00,0.08899554551728465,26.01046237074845,15.0,Sprinkles. Mostly cloudy.,6,24.0,,,,,
2014-10-04 01:00:00,0.06507936507936508,24.577457155163756,15.0,Sprinkles. Mostly cloudy.,7,16.0,,,,,
2014-10-04 02:00:00,0.05172149375047926,25.88605875331745,14.0,Sprinkles. Mostly cloudy.,15,16.0,,,,,
2014-10-04 03:00:00,0.05158730158730159,26.163926524851444,13.0,Sprinkles. Mostly cloudy.,15,16.0,,,,,
2014-10-04 04:00:00,,,13.0,Sprinkles. Mostly cloudy.,9,24.0,,,,,
2014-10-04 04:05:00,0.05008380163659666,26.07237395232423,,,,,,,,,
2014-10-04 05:00:00,0.055747258645809365,26.1831406367851,13.0,Partly cloudy.,11,24.0,,,,,
2014-10-04 06:00:00,,,12.0,Partly cloudy.,13,24.0,,,,,
2014-10-04 06:10:00,0.05632236791657081,27.81270942946673,,,,,,,,,
2014-10-04 07:00:00,0.1171340736558128,28.759131939151622,12.0,Sprinkles. Mostly cloudy.,22,19.0,,,,,
2014-10-04 07:51:00,,,11.0,Sprinkles. Mostly cloudy.,35,19.0,,,,,
2014-10-04 08:00:00,0.12183689901081206,28.810170891685328,10.0,Sprinkles. Partly cloudy.,26,24.0,,,,,
2014-10-04 09:00:00,0.08899554551728464,28.69011453766655,11.0,Partly sunny.,26,24.0,,,,,
2014-10-04 10:00:00,0.12948585231193926,29.01887639162972,12.0,Partly sunny.,28,24.0,,,,,
2014-10-04 11:00:00,0.10220214568040654,28.083929391107063,11.0,Partly sunny.,22,24.0,,,,,
2014-10-04 12:00:00,,,13.0,Broken clouds.,30,24.0,,,,,
2014-10-04 12:05:00,0.07390676955894347,27.398375204477897,,,,,,,,,
2014-10-04 13:00:00,0.09851621808143547,28.022998297096525,12.0,Sprinkles. Partly sunny.,22,24.0,,,,,
2014-10-04 14:00:00,0.09924085576259489,28.985702586458082,12.0,Scattered showers. Broken clouds.,35,24.0,,,,,
2014-10-04 15:00:00,0.10389610389610389,29.101240980777387,12.0,Broken clouds.,26,24.0,,,,,
2014-10-04 16:00:00,0.12632536545580025,27.410085408730165,11.0,Broken clouds.,22,24.0,,,,,
2014-10-04 17:00:00,,,11.0,Broken clouds.,24,24.0,,,,,
2014-10-04 17:05:00,0.12288168085269535,27.667237851711675,,,,,,,,,
2014-10-04 18:00:00,0.14262709914883828,28.354833980583866,10.0,Broken clouds.,22,24.0,,,,,
2014-10-04 19:00:00,0.10831921701486918,26.2191791827885,8.0,Scattered clouds.,20,24.0,,,,,
2014-10-04 20:00:00,0.10587761674718198,26.595465241475313,7.0,Passing clouds.,19,24.0,,,,,
2014-10-04 21:00:00,0.12879572118702554,27.305843966902597,7.0,Passing clouds.,37,24.0,,,,,
2014-10-04 22:00:00,0.13170002300437084,27.120099223428085,5.0,Passing clouds.,13,24.0,,,,,
2014-10-04 23:00:00,,,6.0,Passing clouds.,15,24.0,,,,,
2014-10-04 23:05:00,0.06691134952004517,27.005530402989084,,,,,,,,,
2014-10-05 00:00:00,0.11214630779848171,27.673291607350002,5.0,Clear.,15,24.0,,,,,
2014-10-05 01:00:00,0.067939575185952,28.88590921801873,5.0,Clear.,15,24.0,,,,,
2014-10-05 02:00:00,0.06031746031746031,26.74170440490078,5.0,Passing clouds.,15,24.0,,,,,
2014-10-05 03:00:00,0.05634920634920635,28.912368124901537,4.0,Passing clouds.,7,24.0,,,,,
2014-10-05 04:00:00,,,4.0,Passing clouds.,11,24.0,,,,,
2014-10-05 04:05:00,0.03663446054750403,28.046049435463676,,,,,,,,,
2014-10-05 05:00:00,0.04472049689440994,26.568333654294673,4.0,Passing clouds.,13,24.0,,,,,
2014-10-05 06:00:00,0.03381642512077295,29.716849952451437,3.0,Passing clouds.,11,24.0,,,,,
2014-10-05 07:00:00,,,4.0,Passing clouds.,11,24.0,,,,,
2014-10-05 07:05:00,0.09021895978417717,28.06578264218625,,,,,,,,,
2014-10-05 08:00:00,0.06951502603676517,29.199908685004427,4.0,Passing clouds.,7,24.0,,,,,
2014-10-05 09:00:00,0.08231382144425624,29.312585745030244,7.0,Scattered clouds.,15,24.0,,,,,
2014-10-05 10:00:00,0.142914653784219,28.20703502672525,9.0,Broken clouds.,22,24.0,,,,,
2014-10-05 11:00:00,0.10182309638831377,26.443716471465958,11.0,Broken clouds.,26,24.0,,,,,
2014-10-05 12:00:00,0.12325741890959283,27.249266071580145,12.0,Broken clouds.,30,24.0,,,,,
2014-10-05 13:00:00,,,12.0,Broken clouds.,26,24.0,,,,,
2014-10-05 13:10:00,0.09648033126293995,27.496916356941693,,,,,,,,,
2014-10-05 14:00:00,0.1082878474182822,28.721651525325488,12.0,Partly sunny.,24,24.0,,,,,
2014-10-05 15:00:00,,,12.0,Broken clouds.,24,24.0,,,,,
