,density,speed,Temp,Weather,Wind,Visibility,VISIBILITY,LIGHT,ACCLASS,LONGITUDE,LATITUDE
2014-10-01 00:00:00,,,17.0,Mostly cloudy.,13,16.0,,,,,
2014-10-01 00:05:00,0.3224307635874549,28.199766752140462,,,,,,,,,
2014-10-01 01:00:00,0.21309683927370546,28.586022383800938,16.0,Drizzle. Fog.,19,10.0,,,,,
2014-10-01 02:00:00,0.16815175969513563,28.27306468575321,16.0,Overcast.,19,16.0,,,,,
2014-10-01 03:00:00,0.11984420533512664,26.239449015843263,15.0,Overcast.,17,19.0,,,,,
2014-10-01 04:00:00,0.10261661673901083,27.81025551269656,15.0,Overcast.,17,24.0,,,,,
2014-10-01 05:00:00,0.2715198386012105,28.094819537258434,15.0,Overcast.,13,19.0,,,,,
2014-10-01 06:00:00,0.6582885003362474,27.776083367481622,15.0,Overcast.,11,19.0,,,,,
2014-10-01 07:00:00,3.4654785922438918,15.121447185203314,15.0,Overcast.,13,16.0,,,,,
2014-10-01 08:00:00,8.654281551221699,5.811647823416624,15.0,Fog.,9,10.0,,,,,
2014-10-01 09:00:00,3.0331203765971755,16.94964406652244,15.0,Drizzle. Fog.,9,8.0,,,,,
2014-10-01 09:45:00,,,15.0,Fog.,9,8.0,,,,,
2014-10-01 10:00:00,0.9744451916610625,26.893833175977125,15.0,Fog.,11,8.0,,,,,
2014-10-01 11:00:00,1.0435720690428154,26.675907498957333,15.0,Drizzle. Fog.,7,6.0,,,,,
2014-10-01 12:00:00,1.5130295897780766,25.274096618141964,15.0,Drizzle. Fog.,9,5.0,,,,,
2014-10-01 13:00:00,3.54200291414481,14.209222767643292,15.0,Drizzle. Fog.,9,5.0,,,,,
2014-10-01 14:00:00,7.401619592019727,7.291029393262388,15.0,Drizzle. Fog.,13,6.0,,,,,
2014-10-01 15:00:00,11.780122169917059,4.575759907353647,15.0,Drizzle. Fog.,9,6.0,,,,,
2014-10-01 16:00:00,12.366145483075544,4.539424973218088,15.0,Drizzle. Fog.,9,5.0,,,,,
2014-10-01 17:00:00,11.659633490248822,5.339993990051279,15.0,Drizzle. Fog.,13,6.0,,,,,
2014-10-01 18:00:00,10.694323021744005,6.099563796416896,15.0,Drizzle. Fog.,11,6.0,,,,,
2014-10-01 19:00:00,5.73828737951132,9.104412335207043,15.0,Drizzle. Fog.,7,5.0,,,,,
2014-10-01 20:00:00,1.8575151311365163,22.22205098710033,16.0,Overcast.,9,13.0,,,,,
2014-10-01 21:00:00,1.2538388253754764,26.16904176766549,16.0,Overcast.,9,13.0,,,,,
2014-10-01 22:00:00,1.0017372786370768,27.104717894530477,16.0,Overcast.,7,13.0,,,,,
