,density,speed,Temp,Weather,Wind,Visibility,VISIBILITY,LIGHT,ACCLASS,LONGITUDE,LATITUDE
2014-10-01 00:00:00,,,17.0,Mostly cloudy.,13,16.0,,,,,
2014-10-01 00:05:00,0.3469018543645409,27.131374791765662,,,,,,,,,
2014-10-01 01:00:00,0.21783937455579247,26.904406852186558,16.0,Drizzle. Fog.,19,10.0,,,,,
2014-10-01 02:00:00,0.18504878206370742,26.964950039233372,16.0,Overcast.,19,16.0,,,,,
2014-10-01 03:00:00,0.14647003079838902,24.479670490551978,15.0,Overcast.,17,19.0,,,,,
2014-10-01 04:00:00,0.11823996898623766,26.22655014062709,15.0,Overcast.,17,24.0,,,,,
2014-10-01 05:00:00,0.26125325752191425,27.712146459397687,15.0,Overcast.,13,19.0,,,,,
2014-10-01 06:00:00,0.6853826107557451,27.058318862843695,15.0,Overcast.,11,19.0,,,,,
2014-10-01 07:00:00,3.7980928689883915,13.806970910697183,15.0,Overcast.,13,16.0,,,,,
2014-10-01 08:00:00,6.9909381663113,6.806118153696281,15.0,Fog.,9,10.0,,,,,
2014-10-01 09:00:00,4.739042880833925,12.015399348971798,15.0,Drizzle. Fog.,9,8.0,,,,,
2014-10-01 09:45:00,,,15.0,Fog.,9,8.0,,,,,
2014-10-01 10:00:00,1.0297915185974889,24.921972957133804,15.0,Fog.,11,8.0,,,,,
2014-10-01 11:00:00,0.9521440416962804,24.020067820190032,15.0,Drizzle. Fog.,7,6.0,,,,,
2014-10-01 12:00:00,2.402452025586354,17.637220200148224,15.0,Drizzle. Fog.,9,5.0,,,,,
2014-10-01 13:00:00,3.9426676143094053,11.445947402411107,15.0,Drizzle. Fog.,9,5.0,,,,,
2014-10-01 14:00:00,5.128464818763326,9.250750078247505,15.0,Drizzle. Fog.,13,6.0,,,,,
2014-10-01 15:00:00,4.222755271262733,10.465231122391804,15.0,Drizzle. Fog.,9,6.0,,,,,
2014-10-01 16:00:00,8.575811419095002,5.704372354487547,15.0,Drizzle. Fog.,9,5.0,,,,,
2014-10-01 17:00:00,9.295190713101162,6.253851510421112,15.0,Drizzle. Fog.,13,6.0,,,,,
2014-10-01 18:00:00,6.973347547974414,8.023271537999152,15.0,Drizzle. Fog.,11,6.0,,,,,
2014-10-01 19:00:00,4.469793887704335,10.342422556960905,15.0,Drizzle. Fog.,7,5.0,,,,,
2014-10-01 20:00:00,2.585939350864724,17.370590579359586,16.0,Overcast.,9,13.0,,,,,
2014-10-01 21:00:00,1.111229566453447,23.883014379917395,16.0,Overcast.,9,13.0,,,,,
2014-10-01 22:00:00,0.906420279554608,25.710798888914187,16.0,Overcast.,7,13.0,,,,,
2014-10-01 23:00:00,0.5598791755508173,27.457944452395754,16.0,Overcast.,4,13.0,,,,,
2014-10-01 23:48:00,,,16.0,Fog.,9,10.0,,,,,
2014-10-02 00:00:00,0.33582089552238803,27.81737027084884,16.0,Fog.,11,10.0,,,,,
2014-10-02 01:00:00,0.19580668088130773,26.822586230030804,15.0,Fog.,7,10.0,,,,,
2014-10-02 02:00:00,0.17205638474295193,26.25235336475249,15.0,Fog.,6,10.0,,,,,
2014-10-02 03:00:00,0.10841894423983976,27.23802206581324,15.0,Fog.,0,10.0,,,,,
2014-10-02 04:00:00,0.14753612887941245,25.662163814283897,15.0,Fog.,7,10.0,,,,,
2014-10-02 05:00:00,0.29376924899312956,26.96385459039871,15.0,Fog.,11,10.0,,,,,
2014-10-02 06:00:00,0.6730040274816395,26.86287743538576,15.0,Fog.,0,6.0,,,,,
2014-10-02 07:00:00,5.954335465529495,9.828627325546416,16.0,Fog.,7,6.0,,,,,
2014-10-02 08:00:00,6.415778251599147,7.441440886441391,16.0,Fog.,11,6.0,,,,,
2014-10-02 09:00:00,5.9924188580905,9.217374109961094,16.0,Fog.,7,6.0,,,,,
2014-10-02 10:00:00,1.0619521440416964,24.865106047247338,17.0,Fog.,13,8.0,,,,,
2014-10-02 11:00:00,0.9613243307273157,25.162166896219016,17.0,Fog.,17,8.0,,,,,
2014-10-02 12:00:00,2.3843283582089554,16.091167362656982,17.0,Fog.,15,10.0,,,,,
2014-10-02 13:00:00,4.68698175787728,10.25040608376135,17.0,Fog.,15,10.0,,,,,
2014-10-02 14:00:00,4.693733712390428,9.798130433275345,17.0,Fog.,0,10.0,,,,,
2014-10-02 15:00:00,6.835820895522389,7.345124699185654,19.0,Cloudy.,0,13.0,,,,,
2014-10-02 16:00:00,7.257462686567163,7.193710380784364,20.0,Broken clouds.,11,13.0,,,,,
2014-10-02 17:00:00,8.378701729447998,6.715354737666741,18.0,Partly sunny.,13,13.0,,,,,
2014-10-02 18:00:00,5.8590973702914,9.075800238182389,18.0,Fog.,9,10.0,,,,,
2014-10-02 19:00:00,5.540926320777067,9.57516111442953,16.0,Fog.,6,10.0,,,,,
2014-10-02 20:00:00,3.7102582326462925,13.099488648003282,16.0,Fog.,15,10.0,,,,,
2014-10-02 21:00:00,6.40695332859512,7.078231319387861,15.0,Fog.,7,10.0,,,,,
2014-10-02 22:00:00,2.5026652452025586,18.99006218324647,15.0,Partly cloudy.,4,13.0,,,,,
2014-10-02 23:00:00,0.6498460080549633,26.289179402277057,15.0,Partly cloudy.,0,13.0,,,,,
2014-10-03 00:00:00,0.4950248756218905,27.343600492285287,16.0,Partly cloudy.,9,13.0,,,,,
2014-10-03 01:00:00,0.3235607675906183,27.061755713636263,17.0,Passing clouds.,13,16.0,,,,,
2014-10-03 02:00:00,0.22672352523098793,26.74003934814968,16.0,Partly cloudy.,9,16.0,,,,,
2014-10-03 03:00:00,0.13486140724946696,27.012803626110312,17.0,Overcast.,11,16.0,,,,,
2014-10-03 04:00:00,0.10003553660270077,26.28059942241141,17.0,Overcast.,15,16.0,,,,,
2014-10-03 05:00:00,0.2869580668088131,27.6381183433012,17.0,Overcast.,13,16.0,,,,,
2014-10-03 06:00:00,0.6789860222696044,26.967871241626792,17.0,Passing clouds.,19,16.0,,,,,
2014-10-03 07:00:00,3.9937810945273635,14.20033919544647,16.0,Passing clouds.,15,16.0,,,,,
2014-10-03 08:00:00,6.396825396825396,8.155360899580584,16.0,Partly cloudy.,17,19.0,,,,,
2014-10-03 09:00:00,2.6921937929400617,17.726419098581513,17.0,Broken clouds.,22,19.0,,,,,
2014-10-03 10:00:00,1.1598554844823503,24.63183059895258,18.0,Partly sunny.,24,24.0,,,,,
2014-10-03 11:00:00,4.270315091210613,11.786672340843388,19.0,Partly sunny.,22,19.0,,,,,
2014-10-03 12:00:00,5.30105425254679,10.168749914881474,21.0,Partly sunny.,20,19.0,,,,,
2014-10-03 13:00:00,5.696872778962331,8.90955098806781,23.0,Partly sunny.,24,19.0,,,,,
2014-10-03 14:00:00,7.691246150201374,7.033593001852026,21.0,Mostly cloudy.,22,19.0,,,,,
2014-10-03 15:00:00,9.996387112058754,4.893035271214676,19.0,Light rain. Overcast.,22,13.0,,,,,
2014-10-03 16:00:00,10.441601516228383,4.388971725928367,19.0,Light rain. More clouds than sun.,24,13.0,,,,,
2014-10-03 17:00:00,12.992300402748164,4.198927645372456,19.0,Light rain. More clouds than sun.,26,13.0,,,,,
2014-10-03 17:57:00,,,18.0,Rain. Fog.,15,6.0,,,,,
2014-10-03 18:00:00,7.415896706941482,7.3797642944903465,18.0,Light rain. Fog.,22,10.0,,,,,
2014-10-03 19:00:00,5.505212035062782,9.47778238796576,18.0,Cloudy.,17,16.0,,,,,
2014-10-03 20:00:00,1.7733949301113479,21.25557862364482,18.0,Light rain. Overcast.,19,13.0,,,,,
2014-10-03 21:00:00,1.0845771144278606,23.28996803253061,17.0,Sprinkles. Overcast.,17,24.0,,,,,
2014-10-03 22:00:00,1.070184790334044,22.489898095136237,16.0,Sprinkles. Mostly cloudy.,17,24.0,,,,,
2014-10-03 23:00:00,1.2879649372186686,20.403031260356364,16.0,Sprinkles. Mostly cloudy.,7,24.0,,,,,
2014-10-03 23:47:00,,,15.0,Sprinkles. Mostly cloudy.,7,24.0,,,,,
2014-10-04 00:00:00,0.65227434257285,26.370660951916502,15.0,Sprinkles. Mostly cloudy.,6,24.0,,,,,
2014-10-04 01:00:00,0.5636105188343995,24.8693255905154,15.0,Sprinkles. Mostly cloudy.,7,16.0,,,,,
2014-10-04 02:00:00,0.5049158967069415,25.617901470996355,14.0,Sprinkles. Mostly cloudy.,15,16.0,,,,,
2014-10-04 03:00:00,0.33434020374318885,26.768267934582934,13.0,Sprinkles. Mostly cloudy.,15,16.0,,,,,
2014-10-04 04:00:00,0.23868751480691777,26.019510746515362,13.0,Sprinkles. Mostly cloudy.,9,24.0,,,,,
2014-10-04 05:00:00,0.1586117033878228,26.43057715652731,13.0,Partly cloudy.,11,24.0,,,,,
2014-10-04 06:00:00,0.29714522624970385,26.123201725876914,12.0,Partly cloudy.,13,24.0,,,,,
2014-10-04 07:00:00,0.5124378109452736,27.23928327866383,12.0,Sprinkles. Mostly cloudy.,22,19.0,,,,,
2014-10-04 07:51:00,,,11.0,Sprinkles. Mostly cloudy.,35,19.0,,,,,
2014-10-04 08:00:00,0.7293887704335466,26.85980474084744,10.0,Sprinkles. Partly cloudy.,26,24.0,,,,,
2014-10-04 09:00:00,1.0971926083866383,24.99242617202967,11.0,Partly sunny.,26,24.0,,,,,
2014-10-04 10:00:00,1.1061359867330016,24.402132867862306,12.0,Partly sunny.,28,24.0,,,,,
2014-10-04 11:00:00,3.5657427149964462,14.395597266995424,11.0,Partly sunny.,22,24.0,,,,,
2014-10-04 12:00:00,5.225183605780621,9.36254800367126,13.0,Broken clouds.,30,24.0,,,,,
2014-10-04 13:00:00,4.886282871357499,9.942409195273122,12.0,Sprinkles. Partly sunny.,22,24.0,,,,,
2014-10-04 14:00:00,3.2376806443970625,12.897700519064443,12.0,Scattered showers. Broken clouds.,35,24.0,,,,,
2014-10-04 15:00:00,2.0183013503909026,18.287618690309632,12.0,Broken clouds.,26,24.0,,,,,
2014-10-04 16:00:00,4.390132669983417,10.903903862054987,11.0,Broken clouds.,22,24.0,,,,,
2014-10-04 17:00:00,5.062011371712864,10.731532016697122,11.0,Broken clouds.,24,24.0,,,,,
2014-10-04 18:00:00,1.517709073679223,21.785093141872423,10.0,Broken clouds.,22,24.0,,,,,
2014-10-04 19:00:00,1.0147476901208246,24.206696831915565,8.0,Scattered clouds.,20,24.0,,,,,
2014-10-04 20:00:00,0.9261430940535419,25.707021334131767,7.0,Passing clouds.,19,24.0,,,,,
2014-10-04 21:00:00,0.8608149727552713,25.916708368408962,7.0,Passing clouds.,37,24.0,,,,,
