,density,speed,Temp,Weather,Wind,Visibility,VISIBILITY,LIGHT,ACCLASS,LONGITUDE,LATITUDE
2014-10-01 00:00:00,,,17.0,Mostly cloudy.,13,16.0,,,,,
2014-10-01 00:05:00,0.3610000439386616,28.188618512961135,,,,,,,,,
2014-10-01 01:00:00,0.222329627839536,28.781305621006116,16.0,Drizzle. Fog.,19,10.0,,,,,
2014-10-01 02:00:00,0.17290961817303044,28.64672950780104,16.0,Overcast.,19,16.0,,,,,
2014-10-01 03:00:00,0.14503786048010311,27.67547269522646,15.0,Overcast.,17,19.0,,,,,
2014-10-01 04:00:00,0.12223735665011644,27.074806046859784,15.0,Overcast.,17,24.0,,,,,
2014-10-01 05:00:00,0.30803931045593685,28.685790661174163,15.0,Overcast.,13,19.0,,,,,
2014-10-01 06:00:00,0.795835347188658,27.48230000891185,15.0,Overcast.,11,19.0,,,,,
2014-10-01 07:00:00,2.7094409537618813,17.350689752652215,15.0,Overcast.,13,16.0,,,,,
2014-10-01 08:00:00,4.3992266795553405,11.781454383673482,15.0,Fog.,9,10.0,,,,,
2014-10-01 09:00:00,3.64846141453198,14.298505196740457,15.0,Drizzle. Fog.,9,8.0,,,,,
2014-10-01 09:45:00,,,15.0,Fog.,9,8.0,,,,,
2014-10-01 10:00:00,1.3335347188657967,24.926526244596882,15.0,Fog.,11,8.0,,,,,
2014-10-01 11:00:00,1.3987836313839213,24.267172182517054,15.0,Drizzle. Fog.,7,6.0,,,,,
2014-10-01 12:00:00,2.2495569518285805,18.424611848559962,15.0,Drizzle. Fog.,9,5.0,,,,,
2014-10-01 13:00:00,2.662759787336878,16.475353441681488,15.0,Drizzle. Fog.,9,5.0,,,,,
2014-10-01 14:00:00,3.031939745448687,14.668255761651103,15.0,Drizzle. Fog.,13,6.0,,,,,
2014-10-01 15:00:00,2.1831400032221686,20.4434901322992,15.0,Drizzle. Fog.,9,6.0,,,,,
2014-10-01 16:00:00,4.091066537779926,12.194270529149698,15.0,Drizzle. Fog.,9,5.0,,,,,
2014-10-01 17:00:00,5.621878524246818,11.673167265542803,15.0,Drizzle. Fog.,13,6.0,,,,,
2014-10-01 18:00:00,4.003665216690833,13.274023394331545,15.0,Drizzle. Fog.,11,6.0,,,,,
2014-10-01 19:00:00,2.9266956661833414,15.78618890412705,15.0,Drizzle. Fog.,7,5.0,,,,,
2014-10-01 20:00:00,2.1247784759142903,19.347513210423624,16.0,Overcast.,9,13.0,,,,,
2014-10-01 21:00:00,1.4956097953922989,24.006513814950864,16.0,Overcast.,9,13.0,,,,,
2014-10-01 22:00:00,1.0962220074109876,26.727471397753117,16.0,Overcast.,7,13.0,,,,,
2014-10-01 23:00:00,0.6961495086193007,28.053390087373504,16.0,Overcast.,4,13.0,,,,,
2014-10-01 23:48:00,,,16.0,Fog.,9,10.0,,,,,
2014-10-02 00:00:00,0.3184308039310456,28.2938657351685,16.0,Fog.,11,10.0,,,,,
2014-10-02 01:00:00,0.23646689221846304,28.192803283542343,15.0,Fog.,7,10.0,,,,,
2014-10-02 02:00:00,0.17915256967939422,28.023846451884452,15.0,Fog.,6,10.0,,,,,
2014-10-02 03:00:00,0.09469147736426616,28.72634484446432,15.0,Fog.,0,10.0,,,,,
2014-10-02 04:00:00,0.13706299339455455,28.393229512325764,15.0,Fog.,7,10.0,,,,,
2014-10-02 05:00:00,0.296801997744482,28.950508934709745,15.0,Fog.,11,10.0,,,,,
2014-10-02 06:00:00,0.8871435476075399,27.43402984243001,15.0,Fog.,0,6.0,,,,,
2014-10-02 07:00:00,4.50829708393749,11.620626589391422,16.0,Fog.,7,6.0,,,,,
2014-10-02 08:00:00,4.089294345094248,12.53979038870107,16.0,Fog.,11,6.0,,,,,
2014-10-02 09:00:00,4.6219590784598035,12.922082460746125,16.0,Fog.,7,6.0,,,,,
2014-10-02 10:00:00,1.5704446592556789,24.633147696652802,17.0,Fog.,13,8.0,,,,,
2014-10-02 11:00:00,1.6524488480747543,23.30268744052633,17.0,Fog.,17,8.0,,,,,
2014-10-02 12:00:00,2.295190913484775,18.62190579482625,17.0,Fog.,15,10.0,,,,,
2014-10-02 13:00:00,3.448082809730949,15.180894056786185,17.0,Fog.,15,10.0,,,,,
2014-10-02 14:00:00,2.88895601739971,16.1056262267679,17.0,Fog.,0,10.0,,,,,
2014-10-02 15:00:00,3.577050104720477,14.04205077825368,19.0,Cloudy.,0,13.0,,,,,
2014-10-02 16:00:00,3.2233768326083454,15.117617108490853,20.0,Broken clouds.,11,13.0,,,,,
2014-10-02 17:00:00,5.131826969550507,12.338260789646283,18.0,Partly sunny.,13,13.0,,,,,
2014-10-02 18:00:00,3.778717576929273,14.732445912416807,18.0,Fog.,9,10.0,,,,,
2014-10-02 19:00:00,3.205735459964556,15.520031541345624,16.0,Fog.,6,10.0,,,,,
2014-10-02 20:00:00,2.512083131947801,17.989565214598,16.0,Fog.,15,10.0,,,,,
2014-10-02 21:00:00,1.3909698727243436,24.328994194897998,15.0,Fog.,7,10.0,,,,,
2014-10-02 22:00:00,1.8389318511358146,22.930214723734775,15.0,Partly cloudy.,4,13.0,,,,,
2014-10-02 23:00:00,0.8951184146930884,27.77317816061321,15.0,Partly cloudy.,0,13.0,,,,,
2014-10-03 00:00:00,0.49254873529885607,28.94859397363115,16.0,Partly cloudy.,9,13.0,,,,,
2014-10-03 01:00:00,0.3321250201385533,29.204157416811828,17.0,Passing clouds.,13,16.0,,,,,
2014-10-03 02:00:00,0.23932656677944256,29.50025926422965,16.0,Partly cloudy.,9,16.0,,,,,
2014-10-03 03:00:00,0.14813919768003866,28.657106902122596,17.0,Overcast.,11,16.0,,,,,
2014-10-03 04:00:00,0.12779925890124053,28.586131737636872,17.0,Overcast.,15,16.0,,,,,
2014-10-03 05:00:00,0.3042532624456259,30.184180874471917,17.0,Overcast.,13,16.0,,,,,
2014-10-03 06:00:00,0.8431609473175447,27.795036489585925,17.0,Passing clouds.,19,16.0,,,,,
2014-10-03 07:00:00,2.6629611728693408,16.37290028754826,16.0,Passing clouds.,15,16.0,,,,,
2014-10-03 08:00:00,4.123288222974062,13.430229319456904,16.0,Partly cloudy.,17,19.0,,,,,
2014-10-03 09:00:00,2.828701466086676,18.167561992008782,17.0,Broken clouds.,22,19.0,,,,,
2014-10-03 10:00:00,1.6810858707910423,23.663742534285433,18.0,Partly sunny.,24,24.0,,,,,
2014-10-03 11:00:00,3.645561462864508,15.154350690415663,19.0,Partly sunny.,22,19.0,,,,,
2014-10-03 12:00:00,3.057878202029966,15.377706673633233,21.0,Partly sunny.,20,19.0,,,,,
2014-10-03 13:00:00,3.9636297728371193,14.242948667996046,23.0,Partly sunny.,24,19.0,,,,,
2014-10-03 14:00:00,4.134807475430965,13.006511913708854,21.0,Mostly cloudy.,22,19.0,,,,,
2014-10-03 15:00:00,4.8328902851619135,10.542956941369043,19.0,Light rain. Overcast.,22,13.0,,,,,
2014-10-03 16:00:00,6.656033510552601,8.843121402654596,19.0,Light rain. More clouds than sun.,24,13.0,,,,,
2014-10-03 17:00:00,7.796842274850975,7.975937144989054,19.0,Light rain. More clouds than sun.,26,13.0,,,,,
2014-10-03 17:57:00,,,18.0,Rain. Fog.,15,6.0,,,,,
2014-10-03 18:00:00,3.988440470436604,12.94726829321605,18.0,Light rain. Fog.,22,10.0,,,,,
2014-10-03 19:00:00,3.137224101820525,15.223337397866961,18.0,Cloudy.,17,16.0,,,,,
2014-10-03 20:00:00,1.9531174480425326,22.272311275967052,18.0,Light rain. Overcast.,19,13.0,,,,,
2014-10-03 21:00:00,1.4001933301111649,23.695242657861414,17.0,Sprinkles. Overcast.,17,24.0,,,,,
2014-10-03 22:00:00,1.2957547929756725,23.897248732957973,16.0,Sprinkles. Mostly cloudy.,17,24.0,,,,,
2014-10-03 23:00:00,2.0690752376349284,20.33542681815516,16.0,Sprinkles. Mostly cloudy.,7,24.0,,,,,
2014-10-03 23:47:00,,,15.0,Sprinkles. Mostly cloudy.,7,24.0,,,,,
2014-10-04 00:00:00,0.8245529241179314,26.00903105451189,15.0,Sprinkles. Mostly cloudy.,6,24.0,,,,,
2014-10-04 01:00:00,0.5389479619784114,26.61544807633454,15.0,Sprinkles. Mostly cloudy.,7,16.0,,,,,
2014-10-04 02:00:00,0.5710085387465764,27.099537645929956,14.0,Sprinkles. Mostly cloudy.,15,16.0,,,,,
