,density,speed,Temp,Weather,Wind,Visibility,VISIBILITY,LIGHT,ACCLASS,LONGITUDE,LATITUDE
2014-10-01 00:00:00,,,17.0,Mostly cloudy.,13,16.0,,,,,
2014-10-01 00:05:00,0.22851153039832287,9.582727728123132,,,,,,,,,
2014-10-01 01:00:00,0.13836477987421383,7.620915032679739,16.0,Drizzle. Fog.,19,10.0,,,,,
2014-10-01 02:00:00,,,16.0,Overcast.,19,16.0,,,,,
2014-10-01 03:00:00,,,15.0,Overcast.,17,19.0,,,,,
2014-10-01 04:00:00,,,15.0,Overcast.,17,24.0,,,,,
2014-10-01 05:00:00,,,15.0,Overcast.,13,19.0,,,,,
2014-10-01 05:05:00,0.16652372784448255,7.426636767705009,,,,,,,,,
2014-10-01 06:00:00,0.18963217076424624,8.8277608051896,15.0,Overcast.,11,19.0,,,,,
2014-10-01 07:00:00,0.4488279016580903,8.809450201240368,15.0,Overcast.,13,16.0,,,,,
2014-10-01 08:00:00,0.772107871164475,7.267151193222745,15.0,Fog.,9,10.0,,,,,
2014-10-01 09:00:00,0.6556127310844292,7.0652654323494914,15.0,Drizzle. Fog.,9,8.0,,,,,
2014-10-01 09:45:00,,,15.0,Fog.,9,8.0,,,,,
2014-10-01 10:00:00,0.6659996188298075,7.51374299908138,15.0,Fog.,11,8.0,,,,,
2014-10-01 11:00:00,0.5946255002858777,7.7108871029529285,15.0,Drizzle. Fog.,7,6.0,,,,,
2014-10-01 12:00:00,0.3941299790356394,8.70875132943224,15.0,Drizzle. Fog.,9,5.0,,,,,
2014-10-01 13:00:00,0.40303983228511525,7.871532509614579,15.0,Drizzle. Fog.,9,5.0,,,,,
2014-10-01 14:00:00,0.367305126739089,9.746720469921259,15.0,Drizzle. Fog.,13,6.0,,,,,
2014-10-01 15:00:00,0.720364017533829,7.707919240729844,15.0,Drizzle. Fog.,9,6.0,,,,,
2014-10-01 16:00:00,0.9901372212692966,5.0460459819678825,15.0,Drizzle. Fog.,9,5.0,,,,,
2014-10-01 17:00:00,1.0854297693920334,5.112209566742133,15.0,Drizzle. Fog.,13,6.0,,,,,
