,density,speed,Temp,Weather,Wind,Visibility,VISIBILITY,LIGHT,ACCLASS,LONGITUDE,LATITUDE
2014-10-01 00:00:00,,,17.0,Mostly cloudy.,13,16.0,,,,,
2014-10-01 00:10:00,0.13075674579022112,12.086470378936133,,,,,,,,,
2014-10-01 01:00:00,,,16.0,Drizzle. Fog.,19,10.0,,,,,
2014-10-01 01:30:00,0.1545952525867316,12.937007874015748,,,,,,,,,
2014-10-01 02:00:00,,,16.0,Overcast.,19,16.0,,,,,
2014-10-01 03:00:00,,,15.0,Overcast.,17,19.0,,,,,
2014-10-01 04:00:00,,,15.0,Overcast.,17,24.0,,,,,
2014-10-01 04:50:00,0.10367214445120713,9.645792563600782,,,,,,,,,
2014-10-01 05:00:00,,,15.0,Overcast.,13,19.0,,,,,
2014-10-01 05:50:00,0.0801379590180564,12.478481012658229,,,,,,,,,
2014-10-01 06:00:00,,,15.0,Overcast.,11,19.0,,,,,
2014-10-01 06:45:00,0.10874416717386894,9.201308131941616,,,,,,,,,
2014-10-01 07:00:00,0.3125211334280111,10.329638867760595,15.0,Overcast.,13,16.0,,,,,
2014-10-01 08:00:00,0.3180721805189243,10.164612098065081,15.0,Fog.,9,10.0,,,,,
2014-10-01 09:00:00,,,15.0,Drizzle. Fog.,9,8.0,,,,,
2014-10-01 09:05:00,0.23191316697098804,10.378555794599901,,,,,,,,,
2014-10-01 09:45:00,,,15.0,Fog.,9,8.0,,,,,
2014-10-01 10:00:00,0.22732805842970175,10.270034171728481,15.0,Fog.,11,8.0,,,,,
2014-10-01 11:00:00,0.26333941976060055,10.11660878228319,15.0,Drizzle. Fog.,7,6.0,,,,,
2014-10-01 12:00:00,0.30862694709316746,9.775579072392066,15.0,Drizzle. Fog.,9,5.0,,,,,
2014-10-01 13:00:00,0.3304007820136853,10.040009353331373,15.0,Drizzle. Fog.,9,5.0,,,,,
2014-10-01 14:00:00,0.7178940961655508,8.992700511831464,15.0,Drizzle. Fog.,13,6.0,,,,,
