,density,speed,Temp,Weather,Wind,Visibility,VISIBILITY,LIGHT,ACCLASS,LONGITUDE,LATITUDE
2014-10-01 00:00:00,,,17.0,Mostly cloudy.,13,16.0,,,,,
2014-10-01 00:05:00,0.15703405017921146,8.468695305287392,,,,,,,,,
2014-10-01 01:00:00,0.1051747311827957,9.507987220447284,16.0,Drizzle. Fog.,19,10.0,,,,,
2014-10-01 02:00:00,,,16.0,Overcast.,19,16.0,,,,,
2014-10-01 03:00:00,,,15.0,Overcast.,17,19.0,,,,,
2014-10-01 04:00:00,,,15.0,Overcast.,17,24.0,,,,,
2014-10-01 04:55:00,0.09643817204301075,10.369337979094077,,,,,,,,,
2014-10-01 05:00:00,,,15.0,Overcast.,13,19.0,,,,,
2014-10-01 05:30:00,0.16498655913978494,8.996661485080146,,,,,,,,,
2014-10-01 06:00:00,0.6191476254480287,8.668941088550833,15.0,Overcast.,11,19.0,,,,,
2014-10-01 07:00:00,1.874803987455197,6.920035705842448,15.0,Overcast.,13,16.0,,,,,
2014-10-01 08:00:00,2.0875616039426523,5.094012238347666,15.0,Fog.,9,10.0,,,,,
2014-10-01 09:00:00,1.7441756272401434,4.5820480237650365,15.0,Drizzle. Fog.,9,8.0,,,,,
2014-10-01 09:45:00,,,15.0,Fog.,9,8.0,,,,,
2014-10-01 10:00:00,1.5415826612903227,5.350484210685486,15.0,Fog.,11,8.0,,,,,
2014-10-01 11:00:00,1.037046370967742,5.862031947475926,15.0,Drizzle. Fog.,7,6.0,,,,,
2014-10-01 12:00:00,0.9022457437275985,6.3188088992558304,15.0,Drizzle. Fog.,9,5.0,,,,,
2014-10-01 13:00:00,0.6780633960573477,6.688578410378341,15.0,Drizzle. Fog.,9,5.0,,,,,
2014-10-01 14:00:00,0.4164986559139785,7.362293206195379,15.0,Drizzle. Fog.,13,6.0,,,,,
2014-10-01 15:00:00,0.719116568914956,6.733479403720025,15.0,Drizzle. Fog.,9,6.0,,,,,
2014-10-01 16:00:00,0.8704637096774194,6.721644309799704,15.0,Drizzle. Fog.,9,5.0,,,,,
2014-10-01 17:00:00,1.3882168458781363,5.18592515605111,15.0,Drizzle. Fog.,13,6.0,,,,,
2014-10-01 18:00:00,1.371242668621701,5.885977133455734,15.0,Drizzle. Fog.,11,6.0,,,,,
2014-10-01 19:00:00,0.5784610215053764,6.918391122321549,15.0,Drizzle. Fog.,7,5.0,,,,,
2014-10-01 20:00:00,0.22660450268817206,7.71873208972063,16.0,Overcast.,9,13.0,,,,,
2014-10-01 21:00:00,0.17698732718894009,7.116225401852887,16.0,Overcast.,9,13.0,,,,,
2014-10-01 22:00:00,,,16.0,Overcast.,7,13.0,,,,,
2014-10-01 22:05:00,0.19461245519713263,8.908757608404619,,,,,,,,,
2014-10-01 23:00:00,,,16.0,Overcast.,4,13.0,,,,,
2014-10-01 23:15:00,0.1269489247311828,9.40654737827295,,,,,,,,,
2014-10-01 23:48:00,,,16.0,Fog.,9,10.0,,,,,
2014-10-02 00:00:00,0.13648073476702507,8.612525247767746,16.0,Fog.,11,10.0,,,,,
2014-10-02 01:00:00,,,15.0,Fog.,7,10.0,,,,,
2014-10-02 01:10:00,0.17893145161290325,8.318106227992786,,,,,,,,,
2014-10-02 02:00:00,,,15.0,Fog.,6,10.0,,,,,
2014-10-02 02:55:00,0.08803763440860216,11.358778625954198,,,,,,,,,
2014-10-02 03:00:00,,,15.0,Fog.,0,10.0,,,,,
2014-10-02 03:30:00,0.08904569892473119,11.230188679245282,,,,,,,,,
2014-10-02 04:00:00,,,15.0,Fog.,7,10.0,,,,,
2014-10-02 05:00:00,,,15.0,Fog.,11,10.0,,,,,
2014-10-02 05:40:00,0.2179659498207885,9.239266332872768,,,,,,,,,
2014-10-02 06:00:00,,,15.0,Fog.,0,6.0,,,,,
2014-10-02 06:05:00,0.7278836754643208,7.362421902735645,,,,,,,,,
2014-10-02 07:00:00,1.8291890681003584,5.89194278310005,16.0,Fog.,7,6.0,,,,,
2014-10-02 08:00:00,2.732918906810036,3.510614975401211,16.0,Fog.,11,6.0,,,,,
2014-10-02 09:00:00,2.681899641577061,2.9839179726761755,16.0,Fog.,7,6.0,,,,,
2014-10-02 10:00:00,1.6602262544802866,4.888326315187183,17.0,Fog.,13,8.0,,,,,
2014-10-02 11:00:00,1.0105846774193548,5.947077135647149,17.0,Fog.,17,8.0,,,,,
2014-10-02 12:00:00,0.6750672043010753,5.6008523430184844,17.0,Fog.,15,10.0,,,,,
2014-10-02 13:00:00,,,17.0,Fog.,15,10.0,,,,,
2014-10-02 13:05:00,0.45011608015640275,6.441864830019062,,,,,,,,,
2014-10-02 14:00:00,0.4365927419354839,7.119288146514886,17.0,Fog.,0,10.0,,,,,
2014-10-02 15:00:00,0.5786290322580645,6.259846067130393,19.0,Cloudy.,0,13.0,,,,,
2014-10-02 16:00:00,1.0057795698924732,6.742391444894073,20.0,Broken clouds.,11,13.0,,,,,
2014-10-02 17:00:00,1.0750448028673836,6.156084831912118,18.0,Partly sunny.,13,13.0,,,,,
2014-10-02 18:00:00,1.041358646953405,5.892996476818493,18.0,Fog.,9,10.0,,,,,
2014-10-02 19:00:00,0.5522666177908113,6.309522696612921,16.0,Fog.,6,10.0,,,,,
2014-10-02 20:00:00,0.19198028673835124,7.135919383819378,16.0,Fog.,15,10.0,,,,,
2014-10-02 21:00:00,,,15.0,Fog.,7,10.0,,,,,
2014-10-02 21:20:00,0.16221438172043012,8.024369841201525,,,,,,,,,
2014-10-02 22:00:00,,,15.0,Partly cloudy.,4,13.0,,,,,
2014-10-02 22:05:00,0.23862327188940094,8.469552314525234,,,,,,,,,
2014-10-02 23:00:00,,,15.0,Partly cloudy.,0,13.0,,,,,
2014-10-02 23:05:00,0.17271505376344085,8.167070297668257,,,,,,,,,
2014-10-03 00:00:00,0.175,8.22875470998189,16.0,Partly cloudy.,9,13.0,,,,,
2014-10-03 01:00:00,,,17.0,Passing clouds.,13,16.0,,,,,
2014-10-03 01:10:00,0.14986559139784947,6.676707160642874,,,,,,,,,
2014-10-03 02:00:00,,,16.0,Partly cloudy.,9,16.0,,,,,
2014-10-03 03:00:00,,,17.0,Overcast.,11,16.0,,,,,
2014-10-03 04:00:00,,,17.0,Overcast.,15,16.0,,,,,
2014-10-03 05:00:00,,,17.0,Overcast.,13,16.0,,,,,
2014-10-03 05:50:00,0.24059139784946237,8.312849162011172,,,,,,,,,
2014-10-03 06:00:00,0.646505376344086,7.456233499851485,17.0,Passing clouds.,19,16.0,,,,,
2014-10-03 07:00:00,1.7372871863799284,5.972139605201463,16.0,Passing clouds.,15,16.0,,,,,
2014-10-03 08:00:00,2.0608758960573477,4.8097887240260135,16.0,Partly cloudy.,17,19.0,,,,,
2014-10-03 09:00:00,1.2234262992831542,6.639617905276771,17.0,Broken clouds.,22,19.0,,,,,
2014-10-03 10:00:00,0.7596886200716845,7.06807575663158,18.0,Partly sunny.,24,24.0,,,,,
2014-10-03 11:00:00,0.5951780913978495,7.205363526516659,19.0,Partly sunny.,22,19.0,,,,,
2014-10-03 12:00:00,0.6384408602150538,6.539840275770061,21.0,Partly sunny.,20,19.0,,,,,
2014-10-03 13:00:00,0.6209397401433692,5.353805315319165,23.0,Partly sunny.,24,19.0,,,,,
2014-10-03 14:00:00,,,21.0,Mostly cloudy.,22,19.0,,,,,
2014-10-03 14:05:00,0.8673936950146627,6.214893875644555,,,,,,,,,
2014-10-03 15:00:00,0.8862007168458782,6.095332993010044,19.0,Light rain. Overcast.,22,13.0,,,,,
2014-10-03 16:00:00,1.2885584677419355,5.394419068278207,19.0,Light rain. More clouds than sun.,24,13.0,,,,,
2014-10-03 17:00:00,1.4942596326164874,4.984825374418896,19.0,Light rain. More clouds than sun.,26,13.0,,,,,
2014-10-03 17:57:00,,,18.0,Rain. Fog.,15,6.0,,,,,
2014-10-03 18:00:00,1.997423835125448,5.027247655554613,18.0,Light rain. Fog.,22,10.0,,,,,
2014-10-03 19:00:00,1.974266353046595,5.359893234953783,18.0,Cloudy.,17,16.0,,,,,
2014-10-03 20:00:00,0.6515151515151515,6.833788847614738,18.0,Light rain. Overcast.,19,13.0,,,,,
2014-10-03 21:00:00,0.2395413306451613,7.94077410781956,17.0,Sprinkles. Overcast.,17,24.0,,,,,
2014-10-03 22:00:00,,,16.0,Sprinkles. Mostly cloudy.,17,24.0,,,,,
2014-10-03 22:10:00,0.27729241338112304,7.557648016582178,,,,,,,,,
2014-10-03 23:00:00,,,16.0,Sprinkles. Mostly cloudy.,7,24.0,,,,,
2014-10-03 23:10:00,0.2169578853046595,8.151768505431692,,,,,,,,,
2014-10-03 23:47:00,,,15.0,Sprinkles. Mostly cloudy.,7,24.0,,,,,
2014-10-04 00:00:00,0.2600806451612903,8.038860646065205,15.0,Sprinkles. Mostly cloudy.,6,24.0,,,,,
2014-10-04 01:00:00,,,15.0,Sprinkles. Mostly cloudy.,7,16.0,,,,,
2014-10-04 02:00:00,,,14.0,Sprinkles. Mostly cloudy.,15,16.0,,,,,
2014-10-04 03:00:00,,,13.0,Sprinkles. Mostly cloudy.,15,16.0,,,,,
2014-10-04 04:00:00,,,13.0,Sprinkles. Mostly cloudy.,9,24.0,,,,,
2014-10-04 05:00:00,,,13.0,Partly cloudy.,11,24.0,,,,,
2014-10-04 06:00:00,,,12.0,Partly cloudy.,13,24.0,,,,,
2014-10-04 06:10:00,0.1724630376344086,9.24838620117972,,,,,,,,,
2014-10-04 07:00:00,0.15149769585253456,8.486319130238906,12.0,Sprinkles. Mostly cloudy.,22,19.0,,,,,
2014-10-04 07:51:00,,,11.0,Sprinkles. Mostly cloudy.,35,19.0,,,,,
2014-10-04 08:00:00,0.1953125,7.570544103380777,10.0,Sprinkles. Partly cloudy.,26,24.0,,,,,
2014-10-04 09:00:00,0.18385976702508958,8.641872742792476,11.0,Partly sunny.,26,24.0,,,,,
2014-10-04 10:00:00,0.31498655913978496,7.447817444595421,12.0,Partly sunny.,28,24.0,,,,,
2014-10-04 11:00:00,0.251392089093702,6.741565465751932,11.0,Partly sunny.,22,24.0,,,,,
2014-10-04 12:00:00,0.40215664711632454,7.067273592723376,13.0,Broken clouds.,30,24.0,,,,,
2014-10-04 13:00:00,0.4336021505376344,6.573073485907581,12.0,Sprinkles. Partly sunny.,22,24.0,,,,,
2014-10-04 14:00:00,,,12.0,Scattered showers. Broken clouds.,35,24.0,,,,,
2014-10-04 14:05:00,0.5168010752688171,6.458439506929745,,,,,,,,,
2014-10-04 15:00:00,0.8367495519713262,5.6420248701131515,12.0,Broken clouds.,26,24.0,,,,,
2014-10-04 16:00:00,0.8363575268817205,6.333589699257252,11.0,Broken clouds.,22,24.0,,,,,
2014-10-04 17:00:00,0.8523185483870969,6.606191251761743,11.0,Broken clouds.,24,24.0,,,,,
2014-10-04 18:00:00,1.1613463261648744,6.42019602729192,10.0,Broken clouds.,22,24.0,,,,,
2014-10-04 19:00:00,1.486867159498208,5.066823089916949,8.0,Scattered clouds.,20,24.0,,,,,
2014-10-04 20:00:00,0.5008858748778103,6.183027739175808,7.0,Passing clouds.,19,24.0,,,,,
2014-10-04 21:00:00,0.41003787878787884,7.382231647337216,7.0,Passing clouds.,37,24.0,,,,,
2014-10-04 22:00:00,,,5.0,Passing clouds.,13,24.0,,,,,
2014-10-04 22:10:00,0.3062836021505376,7.169373971165558,,,,,,,,,
